Team,Rushing Yards,YPC,Touchdowns
Titans,2401,4.4,23
Eagles,2715,4.9,25
Ravens,2479,4.8,18
Saints,1991,3.9,12
Colts,2540,5.1,22
49ers,2161,4.3,22
Cardinals,2076,4.2,23
Patriots,2151,4.4,24
Browns,2471,5.1,20
Football Team,2061,4.3,13
Bears,2015,4.2,14
Cowboys,2104,4.4,15
Bills,2209,4.8,20
Panthers,1839,4,17
Broncos,2025,4.4,16
Vikings,1930,4.3,10
Packers,1900,4.3,13
Dolphins,1568,3.6,12
Bengals,1742,4,16
Chiefs,1955,4.5,16
Lions,1886,4.4,12
Chargers,1834,4.3,18
Texans,1422,3.4,8
Rams,1681,4,10
Giants,1688,4,8
Raiders,1617,3.9,14
Seahawks,2074,5,18
Steelers,1583,3.8,10
Falcons,1443,3.7,11
Jaguars,1755,4.5,13
Buccaneers,1672,4.3,18
Jets,1667,4.4,14
